title,slogan,address,phone/0,email,web,categories/0,phone/1,categories/1,categories/2,socialNetwork/0,socialNetwork/1,categories/3,phone/2,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,categories/11,categories/12,socialNetwork/2,socialNetwork/3,categories/13,categories/14,categories/15,categories/16,categories/17,categories/18,categories/19,,phone/3,phone/4,phone/5,phone/6,phone/7,phone/8,phone/9,categories/20,categories/21,categories/22,categories/23,categories/24,categories/25
SOCIEDAD AGROPECUARIA INDUSTRIAL CORDOVA SAICOR S.R.L.,, Av. Teniente Mamerto Cuellar Edificio: Lares Del Parque Piso: Pb Oficina: 6 ,3322560,,,"Cultivo de cereales, legumbres y semillas oleaginosas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INGEVALCO,, B/ Casco Viejo Calle Agustin Saavedra Dist. 1 N° 453 Edificio: Alegranza Piso: Pb_depto Oficina: ,,,,Actividades de arquitectura e ingeniería y actividades conexas de consultoría té,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Show,, ,3337420,,,Grupos electrónicos,, musicales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS DE BEBIDAS Y PRODUCTOS FLORIDA-SIFON SANTA CRUZ S.R.L.,, Parque Industrial N° S/n ,3491415,,, Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras agu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTITUTO CEPESS CENTRO PROFESIONAL EDUCATIVO AL SERVICIO SOCIAL,, Calle Charcas N° 755 ,3300804,,,Otros tipos de enseñanza n.c.p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escobar,, Av. Banzer Km 2 Al Norte Nº 652 ,3400920,,,Maestranzas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORTE INTERNACIONAL SEJAS PINEDO,, Av.circunvalacion Final Viru Viru N° S/n ,9232845,,,Transporte automotor de carga por carretera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLO MODERNO,, Av. CaÑoto N° 682 ,3522036,,,Expendio de comida en locales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCIEDAD AGROPECUARIA GUARAYOS LTDA,, Calle Sucre N° 242 Edificio: Justiniano Aguilera Piso: Pb Oficina: 1 ,3351071,,,Cultivo de productos agrícolas en combinación con la cría de animales (explotaci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INGERTOOLS S.R.L.,, Calle Mandiore N° 106 ,3644328,,,Actividades de arquitectura e ingeniería y actividades conexas de consultoría té,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshi,, Carr. Al Norte Km. 9 ,3435393,,,Talleres mecánicos de automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azucar Show,, 4º Anilo Entre Av. Mutualista y Av. Alemania ,3472192,,,Grupos electrónicos,, musicales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borquez Linea Uniforme SUCURSAL 1,, Calle Florida Nº 264 ,3323713,,www.amarillas.bo/borquez,Confección de Uniformes,,Industria ropa uniforme,Linea gastronómica(uniforme),,,Linea hospitalaria(uniforme),,Uniformes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUARDERIA PININOS S.R.L.,, C/yomomo N° 1515 ,3430767,,,Educación preescolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS DE ALIMENTOS DE SANTA CRUZ S.R.L. IDEAL SANTA CRUZ S.R.L.,," Av. Barrientos, Barrio Urbari N° 214 ",3533564,,, Elaboración de otros productos alimenticios n.c.p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corimexo Ltda,, Parque Industrial Pi 5 ,3491999,,,Maestranzas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORTE INTERNACIONAL MULTIMODAL FLUMAR S.A.,, Av. San Martin Edificio: Comercial Chuubi Piso: 2 Oficina: 16a ,4701032,,,Otras actividades de apoyo al transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INGENIERIA Y SERVICIOS RC,, Calle Ballivian N° 930 ,3353606,,,Actividades de arquitectura e ingeniería y actividades conexas de consultoría té,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piyo Co y Asociados Srl,, Av. Cristobal de Mendoza/Cañada ,3330179,,,Talleres mecánicos de automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCIEDAD AGROPECUARIA EL BASKO S.A.,, Calle Las Violetas N° 404 Edificio: Tacuaral Piso: 4 Oficina: 404 ,3435663,,,Cultivo de productos agrícolas en combinación con la cría de animales (explotaci ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLO A LA LEÑA EL REMANSO,," Avenida Circunvalacion, Esq. Excombatiente N° S/n. ",92-08379,,,Expendio de comida en locales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
